+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| 5360  | 0   | 5348 | 0   | 12  | 0   | GET    | /api/chair/notification               | 0.004 | 1.802 | 441.877 | 0.082 | 0.170 | 0.196 | 0.322 | 0.118  | 0.000      | 44.000     | 235312.000  | 43.901     |
| 1834  | 0   | 1826 | 0   | 8   | 0   | GET    | /api/app/notification                 | 0.027 | 0.440 | 233.279 | 0.127 | 0.213 | 0.239 | 0.308 | 0.062  | 0.000      | 277.000    | 503605.000  | 274.594    |
| 46    | 0   | 46   | 0   | 0   | 0   | GET    | /api/owner/chairs                     | 0.238 | 3.779 | 101.104 | 2.198 | 3.594 | 3.753 | 3.779 | 0.594  | 753.000    | 19007.000  | 54827.000   | 1191.891   |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                | 2.152 | 2.548 | 24.946  | 2.268 | 2.378 | 2.548 | 2.548 | 0.118  | 53.000     | 865.000    | 4353.000    | 395.727    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                        | 0.181 | 0.473 | 2.621   | 0.262 | 0.466 | 0.473 | 0.473 | 0.105  | 62.000     | 63.000     | 627.000     | 62.700     |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare         | 0.010 | 0.276 | 2.099   | 0.150 | 0.241 | 0.276 | 0.276 | 0.094  | 37.000     | 40.000     | 550.000     | 39.286     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                       | 1.988 | 1.988 | 1.988   | 1.988 | 1.988 | 1.988 | 1.988 | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/coordinate                 | 0.031 | 0.092 | 1.298   | 0.065 | 0.086 | 0.087 | 0.092 | 0.019  | 40.000     | 40.000     | 800.000     | 40.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                   | 0.029 | 0.085 | 1.051   | 0.053 | 0.077 | 0.085 | 0.085 | 0.017  | 0.000      | 0.000      | 0.000       | 0.000      |
| 14    | 0   | 14   | 0   | 0   | 0   | GET    | /api/app/rides                        | 0.005 | 0.143 | 0.521   | 0.037 | 0.094 | 0.143 | 0.143 | 0.037  | 22.000     | 2158.000   | 4198.000    | 299.857    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                     | 0.346 | 0.346 | 0.346   | 0.346 | 0.346 | 0.346 | 0.346 | 0.000  | 9176.000   | 9176.000   | 9176.000    | 9176.000   |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods              | 0.018 | 0.058 | 0.345   | 0.034 | 0.045 | 0.058 | 0.058 | 0.011  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                     | 0.007 | 0.052 | 0.344   | 0.017 | 0.029 | 0.034 | 0.052 | 0.012  | 86.000     | 86.000     | 1720.000    | 86.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                      | 0.328 | 0.328 | 0.328   | 0.328 | 0.328 | 0.328 | 0.328 | 0.000  | 9010.000   | 9010.000   | 9010.000    | 9010.000   |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/users                        | 0.012 | 0.049 | 0.164   | 0.016 | 0.013 | 0.049 | 0.049 | 0.011  | 97.000     | 97.000     | 970.000     | 97.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                     | 0.008 | 0.028 | 0.079   | 0.016 | 0.028 | 0.028 | 0.028 | 0.009  | 136.000    | 136.000    | 680.000     | 136.000    |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js        | 0.000 | 0.001 | 0.001   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 0.000      | 184569.000 | 2953104.000 | 41015.333  |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/route-BbZUnrjQ.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1029.000   | 1029.000   | 11319.000   | 1029.000   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/house1.svg                    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2903.000   | 31933.000   | 1451.500   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-D-xfm-4G.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 388.000    | 388.000    | 388.000     | 388.000    |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/town.svg                      | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 128735.000 | 1416085.000 | 64367.500  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /index.html                           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 705.000    | 705.000    | 705.000     | 705.000    |
| 51    | 0   | 6    | 45  | 0   | 0   | GET    | /assets/account-switch-C7WpOYxZ.js    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 553.000    | 3318.000    | 65.059     |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /assets/api-base-url-Bd0x18OB.js      | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 26.000     | 286.000     | 13.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-DGKaubqO.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1495.000   | 1495.000   | 1495.000    | 1495.000   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/buildings2.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 262075.000  | 11912.500  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-logo.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 4749.000    | 4749.000   |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/colors-DB9lnfSt.js            | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 5678.000   | 90848.000   | 1261.778   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/buildings1.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 152746.000  | 6943.000   |
